@relation data

@attribute titre numeric
@attribute url numeric
@attribute sitename numeric
@attribute datedepublication numeric
@attribute datedepostule numeric
@attribute adressdelentreprise numeric
@attribute sitewebdentreprise numeric
@attribute descriptiondelentreprise numeric
@attribute descriptiondeposte numeric
@attribute region numeric
@attribute ville numeric
@attribute secteurdactivite numeric
@attribute metier numeric
@attribute typedecontrat numeric
@attribute niveaudetude numeric
@attribute diplome numeric
@attribute experience numeric
@attribute profilerecherche numeric
@attribute traitsdepersonnalite numeric
@attribute hardskills numeric
@attribute softskills numeric
@attribute competencerecommandees numeric
@attribute langue numeric
@attribute niveaudelalangue numeric
@attribute salaire numeric
@attribute avantagesociaux numeric
@attribute teletravail numeric
@attribute nomdentreprise numeric

@data
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,6,3,1,4,4,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,5,0,0,0,1,5,7,3,1,5,5,2,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,1,0,0,0,14,1,6,3,1,5,5,4,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,0,3,1,5,5,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,17,0,0,0,6,17,8,3,1,5,5,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,14,0,0,0,7,14,0,3,1,5,5,3,0,0,0,0,0,1,4,0,0,0,0
0,0,0,0,0,5,0,0,0,1,5,8,3,1,2,2,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,2,3,1,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,3,1,5,5,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,9,3,1,5,5,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,4,3,2,2,2,1,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,12,0,0,0,2,12,5,3,1,3,3,2,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,12,0,0,0,2,12,5,3,1,5,5,3,0,0,0,0,0,5,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,3,3,1,2,2,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,4,3,2,2,2,2,0,0,0,0,0,1,2,0,0,0,0
